"RACE_ID","RACE_DATE","RACE_COURSE","COURSE","WEATHER","TRACK","DISTANCE","PRIZE1","HORSE_NAME","FRAME","NUM","GENDER","AGE","CNT","RANK_1","RANK_2","RANK_3","RANK_4","RANK_5","AVG_STD_DEV","RACE_COURSE_CNT","RACE_COURSE_RANK_1","RACE_COURSE_RANK_2","RACE_COURSE_RANK_3","RACE_COURSE_RANK_4","RACE_COURSE_RANK_5","RACE_COURSE_AVG_STD_DEV","COURSE_CNT","COURSE_RANK_1","COURSE_RANK_2","COURSE_RANK_3","COURSE_RANK_4","COURSE_RANK_5","COURSE_AVG_STD_DEV","DISTANCE_CNT","DISTANCE_RANK_1","DISTANCE_RANK_2","DISTANCE_RANK_3","DISTANCE_RANK_4","DISTANCE_RANK_5","DISTANCE_AVG_STD_DEV","STD_DEV","RACE_TIME","AVG_RACE_TIME","RANK","POPULARITY","ODDS"
"1703030101",2017/11/03,"17","2",1,2,1700,500,"デックテープ",3,3,2,"2",1,0,0,0,0,0,24.0613391995547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24.0613391995547,25.7340456477306,113.7,109.039348370927,13,11,70
"1703030103",2017/11/03,"17","2",1,2,1700,750,"データヴァリュー",3,3,1,"3",5,1,1,1,0,1,50.263853129751,0,0,0,0,0,0,0,5,1,1,1,0,1,50.263853129751,3,0,0,1,0,1,48.7621706333326,58.0147070139621,107.5,109.039348370927,6,3,5.7
"1703030106",2017/11/03,"17","2",1,2,1700,750,"レッドヴェルサス",2,3,1,"4",24,2,4,5,4,2,55.4680139764325,0,0,0,0,0,0,0,17,2,3,3,1,2,57.5316109546168,8,0,1,2,2,0,49.6030043064855,58.0147070139621,107.5,109.039348370927,7,9,17.4
"1708050102",2017/11/03,"17","2",1,1,1800,500,"トミケンバディリ",3,3,1,"2",1,0,0,0,0,0,25.1700618465609,1,0,0,0,0,0,25.1700618465609,0,0,0,0,0,0,0,1,0,0,0,0,0,25.1700618465609,38.8535927464128,117.4,114.655613772455,8,8,81.8
"1708050108",2017/11/03,"17","2",1,1,1800,1050,"エヴォリューション",3,3,2,"6",30,1,5,5,2,4,53.7802414121941,7,0,0,2,0,0,51.3941675712198,28,1,5,5,2,4,54.6747627015285,30,1,5,5,2,4,53.7802414121941,55.0997131236581,113.4,114.655613772455,11,14,278.1
"1708050103",2017/11/03,"17","1",1,1,1200,500,"ショウナンアンビル",3,3,1,"2",1,0,0,0,1,0,48.9818698404201,1,0,0,0,1,0,48.9818698404201,1,0,0,0,1,0,48.9818698404201,1,0,0,0,1,0,48.9818698404201,48.9818698404201,70.5,70.3142857142857,6,4,11
"1703030102",2017/11/03,"17","1",1,1,1200,500,"パレハ",2,3,2,"2",1,0,0,0,0,0,24.4697534379318,1,0,0,0,0,0,24.4697534379318,1,0,0,0,0,0,24.4697534379318,1,0,0,0,0,0,24.4697534379318,43.0795152343351,71.5,70.4959404600812,15,11,213
"1703030107",2017/11/03,"17","1",1,1,1200,750,"ウインクルスーパー",2,3,2,"4",7,1,0,0,1,0,48.5131222478164,0,0,0,0,0,0,0,6,1,0,0,1,0,48.8990132429413,1,0,0,0,0,0,46.722367492841,58.2430248462192,69.3,70.4959404600812,14,13,69.2
"1703030111",2017/11/03,"17","1",1,1,1200,1500,"ゼンノコリオリ",2,3,1,"7",47,3,1,5,7,3,54.4177560681593,5,0,0,1,2,0,59.0610811820263,23,0,0,2,4,1,55.021414214219,33,2,1,4,4,3,54.9138552371004,60.3107761569307,69,70.4959404600812,7,15,138.7
"1708050105",2017/11/03,"17","1",1,1,1400,700,"ベルノート",3,3,2,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0712960881321,84,83.5121896162528,3,7,29.4
